point_id,original_events,channel,selected_events,sumw_pb,sumw2_pb2,nominal_yield,histogram_relative_mc,diagnostic_5percent
m150_m140,60000,SRmm_eMT2c_lowmet_V2_cuts,41,2.787834841910808e-05,1.8956154331622648e-11,3.875090430256023,0.1561737635985693,exceeds_target
m150_m140,60000,SRmm_eMT2d_hghmet_cuts,172,0.00011695167381731153,7.952147863522476e-11,16.256282660606303,0.07624928604874624,exceeds_target
m150_m140,60000,SRmm_eMT2d_lowmet_V2_cuts,139,9.451333539800544e-05,6.426453794425719e-11,13.137353620322756,0.08481889394693785,exceeds_target
m150_m140,60000,SRmm_eMT2e_hghmet_cuts,82,5.575539944402408e-05,3.791054441430461e-11,7.750000522719347,0.11043152740361892,exceeds_target
m150_m140,60000,SRmm_eMT2e_lowmet_V2_cuts,86,5.8477458651395864e-05,3.976294462878824e-11,8.128366752544025,0.10783277427164088,exceeds_target
m150_m140,60000,SRmm_eMT2f_hghmet_cuts,1,6.800282790209167e-07,4.624384602681497e-13,0.09452393078390742,1.0,exceeds_target
m150_m140,60000,SRmm_eMT2f_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRmm_eMT2g_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRmm_eMT2g_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRmm_eMT2h_hghmet_cuts,0,0.0,0.0,0.0,,unresolved
m150_m140,60000,SRmm_eMT2h_lowmet_V2_cuts,0,0.0,0.0,0.0,,unresolved
