campaign,kind,tag,m_parent,dm,comparison_status,limit_status,historical_only,reference_fb,limit_fb,residual,reported_raw_mu,reported_model_mu,sample_status,bracket_width_over_reported,linear_interpolation_match,first_interval,sr_s_imt2h_events,n_detector_events,detector_exposure_complete,signal_stat_nuisance_present
pdf_rescan,observed,m250_dm20,250.0,20.0,quality_flag,unverified,False,,,,128.0,114.44697334082885,all_above,,,False,0.0,230,False,False
pdf_rescan,observed,m300_dm2,300.0,2.0,matched,legacy_reported,True,53.641,53.66661390730234,0.000477506148325757,4.813711076262298,4.290465552903006,sampled_bracket,0.3323631133346445,True,False,50.0,20000,True,False
pdf_rescan,observed,m300_dm5,300.0,5.0,matched,legacy_reported,True,32.372,24.627830214748318,-0.23922432303384655,2.2090318441519967,1.9689123178450398,sampled_bracket,0.1813916811841254,True,False,244.0,20000,True,False
pdf_rescan,observed,m300_dm10,300.0,10.0,matched,legacy_reported,True,22.643,19.437511512123603,-0.1415664217584418,1.743478070416398,1.5539637682558236,sampled_bracket,0.22908231928871384,True,False,384.0,20000,True,False
pdf_rescan,expected,m50_dm2,50.0,2.0,matched,legacy_reported,True,1078.7,1283.1237516854685,0.18950936468477653,0.12437455622701436,0.11951253124843869,sampled_bracket,0.19376953559545984,True,False,13.0,20000,True,False
pdf_rescan,expected,m50_dm5,50.0,5.0,matched,legacy_reported,True,707.14,527.2870658747182,-0.2543385102317529,0.05111049868437664,0.04911249741458861,sampled_bracket,0.40924056779243134,True,False,54.0,20000,True,False
pdf_rescan,expected,m60_dm2,60.0,2.0,matched,legacy_reported,True,630.88,449.68200272935366,-0.28721467992430627,0.10149078279081264,0.0875915572299035,sampled_bracket,0.2374599873731748,True,False,32.0,20000,True,False
pdf_rescan,expected,m60_dm5,60.0,5.0,matched,legacy_reported,True,357.53000000000003,366.0260549646724,0.02376319459813825,0.08261009027429488,0.07129658724716646,sampled_bracket,0.2231053799299511,True,False,58.0,20000,True,False
pdf_rescan,expected,m70_dm2,70.0,2.0,matched,legacy_reported,True,441.85999999999996,396.3558646462464,-0.10298315157233862,0.16148386309640206,0.1440609852195651,sampled_bracket,0.3206307695631941,True,False,33.0,20000,True,False
pdf_rescan,expected,m70_dm5,70.0,5.0,matched,legacy_reported,True,238.41000000000003,192.9122259916734,-0.19083836251972075,0.07859657007842026,0.07011659928903502,sampled_bracket,0.25407272102817513,True,False,90.0,20000,True,False
pdf_rescan,expected,m90_dm20,90.0,20.0,matched,legacy_reported,True,396.76,219.85098329964123,-0.4458842038016906,0.2223078793691033,0.20753249909526358,sampled_bracket,0.22131469266688455,True,False,78.0,20000,True,False
pdf_rescan,expected,m90_dm40,90.0,40.0,matched,legacy_reported,True,1342.7,606.9174073166083,-0.5479873334947432,0.6136998786530771,0.5729111800840386,sampled_bracket,0.09622611546877971,True,False,38.0,20000,True,False
pdf_rescan,expected,m100_dm2,100.0,2.0,matched,legacy_reported,True,203.96,157.50588546474796,-0.22776090672314198,0.2312198155654586,0.21533600128827635,sampled_bracket,0.2127845309437649,True,False,51.0,20000,True,False
pdf_rescan,expected,m100_dm5,100.0,5.0,matched,legacy_reported,True,105.47,106.62538807572966,0.010954660810938321,0.15652686560073686,0.1457741381300772,sampled_bracket,0.33078471927437053,True,False,134.0,20000,True,False
pdf_rescan,expected,m100_dm10,100.0,10.0,matched,legacy_reported,True,122.23,115.61107485940764,-0.05415139606146091,0.1697179208728652,0.158059024216186,sampled_bracket,0.3050750034548356,True,False,155.0,20000,True,False
pdf_rescan,expected,m100_dm20,100.0,20.0,matched,legacy_reported,True,328.34000000000003,206.7972914806937,-0.37017332192028485,0.3035799675327319,0.2827253197129917,sampled_bracket,0.09610969370064817,True,False,88.0,20000,True,False
pdf_rescan,expected,m100_dm30,100.0,30.0,matched,legacy_reported,True,663.75,456.22018735790544,-0.3126626179165266,0.6697346404985187,0.6237267297203776,sampled_bracket,0.21030126873639648,True,False,47.0,20000,True,False
pdf_rescan,expected,m100_dm40,100.0,40.0,matched,legacy_reported,True,1117.1,425.10911494496645,-0.6194529451750368,0.6240633539676204,0.5811928656084128,sampled_bracket,0.09462814153562862,True,False,41.0,20000,True,False
